family	style_a	style_b	option_overlap_pct	option_shared	option_total	component_overlap_pct	component_shared	component_total	preset_expressible_shared	non_preset_shared_paths
elsevier	elsevier-harvard-core	elsevier-vancouver-core	30.4	7	23	8.3	5	60	1	options.contributors.display-as-sort;options.contributors.name-form;options.contributors.delimiter;options.contributors.delimiter-precedes-last;options.punctuation-in-quote;bibliography.options.entry-suffix
elsevier	elsevier-harvard-core	elsevier-with-titles-core	14.3	4	28	17.8	13	73	1	options.substitute.contributor-role-form;options.punctuation-in-quote;bibliography.options.entry-suffix
elsevier	elsevier-vancouver-core	elsevier-with-titles-core	21.7	5	23	10.0	7	70	1	options.processing;options.punctuation-in-quote;bibliography.options.entry-suffix;bibliography.options.separator
taylor-and-francis	taylor-and-francis-chicago-author-date-core	taylor-and-francis-council-of-science-editors-author-date-core	5.7	2	35	22.5	9	40	1	citation.options.contributors.shorten.use-first
taylor-and-francis	taylor-and-francis-chicago-author-date-core	taylor-and-francis-national-library-of-medicine-core	8.7	2	23	16.3	7	43	1	options.page-range-format
taylor-and-francis	taylor-and-francis-council-of-science-editors-author-date-core	taylor-and-francis-national-library-of-medicine-core	30.6	11	36	46.4	13	28	1	options.punctuation-in-quote;bibliography.options.contributors.display-as-sort;bibliography.options.contributors.name-form;bibliography.options.contributors.initialize-with;bibliography.options.contributors.shorten.and-others;bibliography.options.contributors.shorten.delimiter-precedes-last;bibliography.options.contributors.delimiter;bibliography.options.contributors.delimiter-precedes-last;bibliography.options.contributors.sort-separator;bibliography.options.separator
